Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Full Stack Developer,-1,"About the job


As a software engineer, you will work on a variety of client projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward. With your technical expertise you will design, develop, test, deploy, maintain, and enhance software products.

As a member of the engineering team, you will own important project components and deliverables end to end. You will work with the team to to design and build software solutions that solve client problems, with well crafted and maintainable code, and comprehensive automated testing. In return you can expect latitude in the way you choose to work and the approaches you take, while receiving direct support, guidance, and coaching from Bit Complete's partners.

We believe that when it comes to engineering, you get what you pay for. We want access to the top tier of talent, which is why we're in the top tier of compensation for engineers in Canada.

Qualifications
Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience.
3+ years of relevant industry experience.
Experience working as part of an engineering team, and owning software components end to end.
Experience coding, testing and deploying internet applications or similar.
Experience coding in one of Javascript, Python, Java, Go, or similar.
Excellent written and verbal communication skills.
Experience in software debugging.
Responsibilities
Develop solutions to ambiguous problems and client requirements, leading the implementation of software components, systems, and features.
Build, test, deploy, maintain, and improve software.
Manage individual project priorities, deadlines, and deliverables.
Resolve challenging technical issues.
Participate and represent the team in client meetings.
Help build a team and cultivate innovation.
Collaborate closely with teammates and help grow their abilities through technical contributions and mentorship.
About Bit Complete


Bit Complete is a software consultancy, specializing in building great software applications and infrastructure, and developing product and team strategy for our clients. Our partners are senior leaders in technology from YouTube, Slack, and Thumbtack, and our clients span from consumer internet applications, to healthcare, to ecommerce.

We believe that the value we deliver to clients comes from the quality of our engineering team, which is why we're an engineering first company, committed to building a culture of growth, diversity, ownership, and engineering excellence. It's also why we invest in our engineers through direct mentorship, honest and open dialog and feedback, and trust.",-1,Bit Complete,Ontario,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Full Stack Developer,-1,"It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this changesupporting our clients digital journeys and offering our professionals exciting career opportunities.
If you are passionate, driven and find yourself seeking interesting work, new challenges and continuous learning opportunities, then we want you to join our team. Be part of building one of the largest independent technology and business services firms in the world.

Build your career with us.

It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this changesupporting our clients digital journeys and offering our professionals exciting career opportunities.

At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.

Be part of building one of the largest independent technology and business services firms in the world.

Learn more about CGI at www.cgi.com.

No unsolicited agency referrals please.

CGI is an equal opportunity employer. In addition, CGI is committed to providing accommodations for people with disabilities in accordance with provincial legislation. Please let us know if you require a reasonable accommodation due to a disability during any aspect of the recruitment process and we will work with you to address your needs.

Your future duties and responsibilities

Responsible for development, mentoring and coaching the team and play the lead role.
Work with other departments (Product, UX, Design, QA) with regards to requirements gathering and analysis.
Lead technical solutioning sessions with other developers to ensure that solutions are complete, scalable and are future-proof
Build, foster and work within an Agile environment, including participation in priority/ sprint planning, story planning and daily stand-ups, as well as analysis and communication of change impacts to functional team and business stakeholders
Unit-test code for robustness and stability
Analyze code regularly and refactor as required to minimize technical flaws
Engage in outside-the-box thinking to provide innovative solutions
Create, revise and maintain design/technical documentation

Required qualifications to be successful in this role

At least 5 years of experience designing and developing solutions to meet specific requirements; working on multi-threaded applications in large scale environments.
At least 5 years of experience configuring applications in one or more of programming languages such as Java, HTML, JavaScript, XML / XSLT, Web services, .NET, Scala and Python as well as possessing strong troubleshooting skills
3 years of experience working with one or more UI frameworks such as Angular.js, React.js, Vue.js. Ember.js and Reactive.js least 3 years of experience in Microservices architecture working with REST and SOAP APIs.
LI-YG1
3 years of experience working with Cloud technologies such as AWS and Azure.
3 years of experience working with both relational and NoSQL databases in distributed environments
2 years of experience using Redhat technologies such as OpenShift, 3Scale and Fuse.
Eligibility to obtain Government of Canada Secret clearance",3.6,"CGI
3.6",Ottawa,-1,10000+ Employees,1976,Company - Public,Consulting,Business Services,$10+ billion (USD),-1
Full Stack Software Developer,-1,"Housescope provides software infrastructure for organizations in healthcare. We are currently working on a large-scale project with medical physicists, handling the data of many North American customers. We are looking for creative and team-oriented problem-solvers who are also critical thinkers. There are a variety of problems to be solved, including data processing and aggregation, machine learning, image processing and OCR.

This position is a fully remote, with equipment provided. As a developer, you'd be expected to be comfortable working somewhat independently, but basic team development practices such as code reviews, design discussions, etc. are still expected. The team uses various tools such as Slack, GitHub, and Jira to regularly communicate with each other and with clients.

Our team is relatively small and so we have close relationships with customer, enabling direct feedback. The expectation for work involves many aspects, including testing and implementing DevOps as it makes sense and time allows.

We're currently developing on Meteor, which is purely Javascript. Familiarity with Meteor, Mongo, and/or Node.js is a plus, as well as general healthcare IT formats and standards, e.g. DICOM and HL7.
Technologies Used*
Javascript - Node.js
Meteor
Java
Python
MongoDB
GitHub
Qualifications*
Bachelor degree in Computer Science or Engineering, or related field
Required Experience*
Javascript - Node.js
Assets - Skills*
Creative problem-solving skills
Ability to think critically about a problem or system, ask questions, and challenge or compare various approaches
Ability to organize and plan implementation of a feature
Ability to collaborate on implementing features with other developers
Assets - Experience or knowledge of: *
Meteor software development platform
Unit testing and related infrastructure across various platforms
Healthcare IT formats and standards such as DICOM, HL7, and HIPAA
Machine learning and neural networks
Image processing, including OCR
DevOps, including software deployment workflows
Job Types: Full-time, Permanent

Salary: $75,000.00-$85,000.00 per year

Benefits:
Dental care
Extended health care
Work from home
Schedule:
Monday to Friday
Experience:
Node.js: 1 year (Preferred)
Work remotely:
Yes",-1,Housescope,Remote,-1,-1,-1,-1,-1,-1,-1,-1
UI Developer- Networking,-1,"What You'll Be Responsible For:
You will be working as part of a friendly, agile team focused on delivering innovative software-based solutions to automate functions in our core IP/Optical network. You will be responsible for developing web-based user interfaces that meet the needs of specialized networking operations staff. Specifically:
Applying user-centered design processes, human factors, usability heuristics, and industry best practices to develop world class digital experiences for telecom networking specialists
Turning direct client input and user interface sketches and wireframes into functional web applications using current industry tools and best practices
Verifying and ensuring code quality through automated testing
Maintaining a library of reusable packages and documentation
What You'll Need to Be Successful:
Adept at working in a highly-collaborative lean, agile environment
3+ years Front-End and UI development experience using React framework
3+ years of experience consuming and creating REST APIs and web services
Knowledge of HTML, CSS, Typescript, JavaScript, Bootstrap, Python
Experience with Python web frameworks (including Tornado)
Experience with build tools and continuous integration/deployment
Experience with test-driven development and writing Unit Tests
Aptitude for creating clean & elegant web GUIs
Knowledge of IP and/or Optical networks and their management would be a critical differentiator",3.7,"Brickred
3.7",Toronto,-1,201 to 500 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1
Full Stack Java Developer,-1,"CloudOps is a cloud consulting and services company focused on open source, cloud platforms, networking and DevOps. We help businesses thrive in a data-driven software economy with successful adoption and operation of cloud platforms, enabling self-service, utility economics and API-automated, continuous delivery of IT. CloudOps helps its customers own their destiny in the clouds.

We are looking for motivated software developers to join our Products team. Your main focus will be to contribute TO the advancement of our cutting-edge platform that enables service providers to bring to market a selection of products and cloud services under a unified umbrella. Our dev team is young, energetic and focused on using the best technologies and practices to solve our business goals. We have a flat organization where every member can make a difference and bring a unique point of view.

This is a full-time position open to candidates across Canada. We are currently operating in a remote-first approach.
Our Tech / Productivity stack
Java 11, Spring Boot, VueJS, Golang
MySQL, Redis, Elastic Stack, Apache Kafka
Docker, K8s
GitHub, Jenkins, IntelliJ
Slack, Google Apps, Jira
Skills and Qualifications
Excellent knowledge of Java. Familiarity with Groovy and/or Golang
Skills in web-based development, including REST APIs and JS frameworks such as VueJS/Angular/React.
Experienced with SQL and NoSQL databases
Good understanding of agile programming practices
Strong analytical mind with a good dose of creativity
Meticulous person who strives to constantly improve his/her competencies
Excellent communication skills

Bonus!
Knowledgeable about cloud platforms (AWS, Azure, GCP, CloudStack, OpenStack)
Familiar with container technologies (Docker, Kubernetes, Rancher, OpenShift)
Has contributed to open source projects and can point us to his/her Github account
Knowledge of advanced networking (e.g.: SDN, SD-WAN, NFV)
Experience with CI/CD environments.
Why Choose Us?
Over 10 years in business and internationally recognized leader in cloud computing
Ranked in the PROFIT 500 list the last five consecutive years
Laptop and cellphone provided
Group insurance plan
Employee stock option plan
Collaborative and friendly culture
Leading-edge 24/7 telehealth and lifestyle services
Opportunities to work with and in different teams
Ongoing learning and training, with certifications
Participate in open source and partner communities
Weekly (remote) happy hour
Group online gaming sessions
Our very own beehive: encouraging urban biodiversity and enacting real systematic change
Candidates will be asked to undergo a security screening, which includes a criminal record investigation, the results of which must be acceptable to CloudOps.

We thank all applicants in advance; however, only individuals selected for interviews will be contacted.",4.8,"Cloudops
4.8",Canada,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
UI Developer (Network),-1,"Job Title: UI Developer

Location : Toronto, Canada

Duration : Long term

rate: Market

100% Remote work

What You'll Be Responsible For:

You will be working as part of a friendly, agile team focused on delivering innovative software-based solutions to automate functions in our core IP/Optical network. You will be responsible for developing web-based user interfaces that meet the needs of specialized networking operations staff. Specifically:

Applying user-centered design processes, human factors, usability heuristics, and industry best practices to develop world class digital experiences for telecom networking specialists

Turning direct client input and user interface sketches and wireframes into functional web applications using current industry tools and best practices

Verifying and ensuring code quality through automated testing

Maintaining a library of reusable packages and documentation

What You'll Need to Be Successful:

Adept at working in a highly-collaborative lean, agile environment

3+ years Front-End and UI development experience using React framework

3+ years of experience consuming and creating REST APIs and web services

Knowledge of HTML, CSS, Typescript, JavaScript, Bootstrap, Python

Experience with Python web frameworks (including Tornado)

Experience with build tools and continuous integration/deployment

Experience with test-driven development and writing Unit Tests

Aptitude for creating clean & elegant web GUIs

Knowledge of IP and/or Optical networks and their management would be a critical differentiator",3.7,"Brickred
3.7",Northwest Territories,-1,201 to 500 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1
Medior Backend Developer (Python),-1,"Do you like back-end development and are you a fan of Python? Can you imagine yourself, arriving every morning at an office full of energy and driven people, getting ready to scale a software platform to the whole world? Then read further and find out why we believe our startup in Ghent will be the ideal place for you.

Who are we?

We are Deliverect, a startup from Ghent solving a huge pain that restaurants currently have with handling incoming food-delivery orders. You may not believe it, but restaurants still have to manually handle the orders from each different ordering platform separately (Uber Eats, Takeaway.com, Deliveroo, etc.) The result? Mistakes, stressed employees, messed up orders, and dissatisfied customers - but no more: With our platform, we fix all of these analogue problems and bring restaurants up to the speed of the digital world.

Our young and international team currently counts more than 80 ambitious enthusiasts who work, innovate, and celebrate success together. We have experienced founders with a huge network and track record and already some of the biggest chains that are working with us. And we are excited to continue to grow a lot in the months to come.

Your mission at Deliverect:

As our most Senior Backend Developer with Python knowledge, you write well-tested code, guide the team with your experience, and seek challenges that inspire you. Some examples of your responsibilities include:

Building API integrations for leading national and global delivery websites

Being inventive with the huge amount of data and innovating with it

Creating Machine to Machine (M2M) Authorization

Anticipating problems with server load and preventing them ahead of time

Mentoring the other developers and guide them in their work

Help to choose new technologies and frameworks to tackle problems

You might even be in touch with customers directly, as you are keen to hear what you can improve on

Why this job is for you:

You have at least 2-4 years of experience, including 1 year or more of recent experience developing in Python
You have experience with building Web/REST APIs
You know what Flask (we use Eve) or Django are
You prefer working in a team
We don't tell you what to do, you are the expert and you welcome giving and receiving feedback

What we count as a plus:

Your knowledge of databases includes NoSQL (ideally MongoDB)

You are familiar with SaaS products or worked on a product with frequent releases

Understanding of Docker or Kubernetes (we are currently switching)

You have worked with a TDD approach before

Basic cloud knowledge (Azure / Google Cloud / AWS… but knowing accuweather doesn’t count)

Previous mocking and testing of APIs with Postman

What you can expect from us:

At Deliverect, we care about attracting and retaining excellent people. That’s why we offer you:

Completely flat company structure

A MacBook

Great coffee, free snacks, and plenty of beer (when the work is done)!

Flexibility in working hours (around core office times)

Working with new technologies, no legacy

Full transparency about the business - Everything is shared, so you will also learn what is needed to create a successful startup

We would love to hear from you, even if it’s just to ask some questions about this job or to talk about ordering food.

If you have no questions, excellent.

Check out this simple explanation of why we’ll rock this industry:
https://www.youtube.com/watch?v=UGlX2IPSf14",5.0,"Deliverect
5.0",Toronto,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Software Developer (Android),-1,"We’re hiring an Android Developer!

RhinoActive is looking for another talented developer to join our team. We’re looking for bright individuals that have an incredible work ethic and an insatiable appetite for learning.

The Company

RhinoActive is a small, but rapidly growing team that is largely comprised of extremely talented developers. We work very closely with RedRhino to ensure that the products we build are designed well and contain effective marketing strategies to give our clients the best chance of success. Our office is brand new and contains all the amenities you would expect out of a modern development agency.

Placing an emphasis on ‘Active’, we regularly partake in activities such as sports leagues, corporate challenges (internal and external), running clubs, golf outings, ping pong, and more. We encourage our team members to be active both inside and outside the office.

The Role

This is a full-time position for an Android developer in London, Ontario.

To be successful in this position, applicants should be diligent and hard working with at least 2 years of experience in Android development. Applicants must be familiar with common design patterns, Java based ORMs, Android UIs, and the Android SDK. This position will involve working and coordinating with designers, developers, and managers to ensure a high-quality product is delivered on time.

Responsibilities
Working with team members to strategize, estimate, plan, develop, and deliver high-quality mobile applications.
To suggest potential improvements to operational procedures.
Staying up to date with evolving technologies, APIs, and SDKs.
To maintain a professional businesslike attitude.
To work well with colleagues and customers.
Desired Skills and Experience
University degree in Computer Science, Software Engineering, or Computer Engineering with 2+ years of experience in Android development or 3+ years of software development using Java.
Excellent Java programming skills.
Understanding of Data Structures, Algorithms, Complexity, and Threading.
Very detailed knowledge of the Android SDK, including the Activity and Fragment Lifecycle.
UI Development experience.
Experience with Gradle.
Familiarity with profiling apps to find bugs and improve performance.
Familiarity with databases such as SQLite and Java-based ORMs.
Version control (Git).
Preferred Skills/Qualifications
Understanding of standard networking and security protocols
Working knowledge of REST APIs
Familiarity with Kotlin
Please send resumes and cover letters to

info@rhinoactive.com

or submit your application using the form provided below.",4.0,"RedRhino
4.0",London,-1,Unknown,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1
C++ Software Developer,-1,"About Pathcore

Pathcore is a Toronto-based software company specializing in whole slide digital pathology image management and workflow. The company develops leading enterprise grade software for managing big pathology data which supports cancer informatics and healthcare IT. We are located in downtown Toronto, steps away from Queen’s Park metro station and the MaRS discovery district.

About the Position

Pathcore is currently recruiting an energetic, detailed-oriented and motivated Software Developer with in-depth knowledge of C++. The successful candidate will lead development of Pathcore Sedeen and Sedeen SDK products, a cancer informatics platform designed for viewing, annotating and analyzing wholeslide pathology images. The candidate will be responsible for ensuring development targets are met in a timely fashion while working with other developers to produce high quality, well tested and innovative software. Pathcore Sedeen Viewer is currently used in 20+ countries and 100+ institutions and we expect the user base to grow rapidly. We expect responsibilities will be dynamic and expand as we strive to meet our clients’ needs.

Responsibilities and Expectations
Work closely with system designers to develop architecture and create implementation plans
Develop new functionality according to product specification
Review, test and enhance existing features
Generate training material and conduct training sessions as required
Must be detail-oriented with the ability to learn new technologies and libraries through self-study
Required Skills and Experience
3 years of professional software development experience
Comprehensive knowledge of the C++ language including C++11, C++14, and C++17
Familiarity with MSVC and GCC/Clang
Past experience with using software development tools and methods (source control, unit testing, bug tracking, continuous integration, etc.)
Must have excellent English communication skills; both verbal and written
Desirable Skills
Past experience using or developing software for medical imaging
Experience with common third party C++ libraries such as Qt and Boost
Experience with scripting languages such as CMake and Python
Medical image analysis (i.e. algorithm development) background and/or training",-1,Pathcore,Toronto,-1,1 to 50 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1
Software Developer in Test,-1,"CaseWare International is a leading global software provider for accounting firms, corporations, and governments. With efficiency, quality and value in mind, we build software solutions for auditors that push the technological boundaries in the industry. With nearly 30 years of proven success, our solutions are used by over 400,000 users in 130 countries and in 16 spoken languages.

Requirements
4+ years of relevant industry experience in testing/QA
Possess core automation skills and an understanding of frameworks and tools for web application testing
Knowledge of programming languages - Java, Javascript for the purpose of creation of test scripts and code reviews
Experience with version control systems and build tools, e.g. Git, Jenkins, GitHub actions
Experience with API and UI testing for functional, performance and automated testing using applicable tools and frameworks, e.g. Postman, RestAssured, Jmeter, Protractor, Cypress
Understanding of microservices and databases(SQL and noSQL)
Experience using debugging tools, analyzing stack traces, code, log files and other artifacts
Experience working with DevOps to provide automation on CI/CD
A thorough understanding of estimation techniques and role of a tester in agile ceremonies
Experience with Jira and software lifecycle workflows, preferably Scrum or Kanban
Demonstrates problem solving and self-management skills
Experience with clearly defining, reporting and validating defects
Strong communication, time management, interpersonal and team working skills
Posses a high work ethic and has ability to maintain high team morale
Shares accountability for the quality of deliverables of the team
Contribute to process improvement and company knowledge base
Desired skills and experience
Experience working with AWS products, such as AWS Step Functions, Amazon EKS, Amazon Aurora, Amazon S3, Amazon SageMaker
Knowledge of Python would be a bonus
Knowledge of financial accounting and auditing would be an asset
You posses
University/College Degree in Computer Science/Computer Engineering or equivalent",3.6,"CaseWare
3.6",Toronto,-1,1 to 50 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1
Full Stack Java Developer,-1,"Job Description


Job #: 1085998

Full Stack Java Developer

Apex Systems is a global IT services provider and our consulting practice has an opening for a Full stack Java Developer with strength in design patterns, data structure, and Java 8, Angular 4+, SpringBoot, noSQL experience to place at our client, a Big Five Bank. We have placed multiple people on this team.

Client: Big Five Bank, Digitization team

Terms: Contract, Project is estimated to last one year and will begin with a 6 months contract with possibility for extension based upon performance.

Start: 3 weeks from offer date

Location: Remote to start. Downtown Toronto, Yonge and Bloor, close to both Line 1 & Line 2 subway

Application Process: Please apply via the medium on which you are seeing this posting. If you encounter technical difficulties submitting your resume, please send your resume in Word format to Kevin at karauz@apexsystems.com and reference, Full Stack Java Developer with Top 5 Bank.

Job Description:

Work on digital projects, i.e. mortgage digitization. Working with DevOps tools and practices including Continuous Deployment and Continuous Delivery and Cloud projects
Working on client facing applications, IE. E-forms & E-signatures.
Will be working primarily with Java (V11.0), Angular 7/8, HTML/CSS, JavaScript.
Framework: Spring boot
Database: SQL

Must Haves:

~5-10 years of Java (must have experience on Java 8 or higher), experience with Spring Boot or Spring, Angular 4+, SQL Database, Restful Web Services Preferred (Spring, Jax), Unit Testing Own Code (JUnit, TestNG, Mocha, Chai, Jest Etc.)
Very Strong in Design Patterns, Data Structures, Object Oriented Programming Skills, Algorithms and other Computer Science Degree Concepts

Nice to Have:

Dev ops, Jenkins, Ansible, CI/CD experience
Cloud experience (AWS)
Banking / Financial industry experience
Computer Science Degree
Complex development project experience in a large enterprise environment
Agile Experience

Interview Process: 2 rounds of interviews. First will be over the phone and second will be virtual style panel interview with expectations of face to face interaction and screen sharing for white boarding

This a great opportunity to join a Big Five Bank and kick start or continue your career in the financial domain.

EEO Employer

Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at employeeservices@apexsystemsinc.com or 844-463-6178.",3.8,"Apex Systems
3.8",Toronto,-1,1001 to 5000 Employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),-1
Full Stack Web Developer,-1,"About Pathcore

Pathcore is a Toronto-based software company specializing in whole slide digital pathology image management and workflow. The company develops leading enterprise grade software for managing big pathology data which supports cancer informatics and healthcare IT. We are located in downtown Toronto, steps away from Queen’s Park metro station and the MaRS discovery district.

About the Position

Pathcore is currently recruiting an energetic, detailed-oriented and motivated Software Developer to help us create leading web applications for healthcare. The successful candidate will assist with development of web applications (Flow, Live, Scholar), which have been designed for viewing, annotating and analysis of whole slide images (WSI). The candidate will be responsible for ensuring development targets are met in a timely fashion while working with other developers to produce high quality, well-tested and user-friendly software. We expect responsibilities will be dynamic and expand as we strive to meet our clients’ needs.

Responsibilities and Expectations
Must be detail-oriented with the ability to learn new technologies and libraries through self-study
Work closely with system designers to develop architecture and create implementation plans
Review, test and enhance existing features
Performance tuning, testing, and documentation
Handling inbound support and responding to bug reports
Required Skills and Experience
3 years of professional software development experience
Comprehensive knowledge of frontend web development technologies, including JavaScript, CSS, HTML
Experience developing web application backends using Flask, Django, Rails, Express, or an equivalent framework
Experience with relational databases such as Postgres or MySQL
Past experience with using software development tools and methods (source control, unit testing, bug tracking, continuous integration, etc.)
Must have excellent English communication skills; both verbal and written
Desirable Skills
Experience with Python
Past experience using or developing software for medical imaging
Medical image analysis (i.e. algorithm development) background and/or training
Experience deploying software on cloud platforms (e.g. GCP, AWS, Microsoft Azure)",-1,Pathcore,Toronto,-1,1 to 50 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1
"Python Backend Engineer (Contractor, 3+ years experience)",-1,"Company Profile

TTT Studios is a digital innovation studio working for a global client list in multiple industries. Over the past eight years, we have built multiple applications and patented a portfolio of technologies. This experience puts us in a strong position to cater to larger accounts and launch our own products.

We are a family. We have fun. Design means everything to us and we have the technical chops to deliver what lesser programmers might describe as spooky magic. We expect amazing things from every TTT family member and drive each other to achieve greatness.

Role Summary - Python Backend Engineer (Contractor)

We are looking for a talented and highly experienced Python engineer who is meticulous with designing and then developing APIs and server platforms for TTT Studios' client projects. The ideal candidate should have a deep understanding of best practices when it comes to database models and frameworks.

Job Specifics
Expertise in at least one popular Python framework (like Django, Flask or Pyramid).
Design and implement of low-latency, high-availability, and performant applications.
Writing clean, readable, and testable code.
Seeing through a project from conception to finished product.
Work closely with the engineering team.
Documenting architecture and technical specs for a backend application.
Directly conversing with clients and stakeholders.
Skills and Qualifications
3+ years of software development experience in Python.
Good understanding of server-side templating languages.
Familiarity with front-end technologies (like JavaScript and HTML5).
Experience implementing and data protection procedures.
Experience writing technical documentation and software architecture.
Understanding of REST APIs, OOP, and related best practices.
Nice to have: Experience building CI/CD pipelines.
Hiring Process
Complete this application and include your resume or CV.
If your profile matches what we are looking for, we'll contact a you and setup a short phone call.
We will also setup an interview at our offices or via Zoom. We'll talk about your experience, what do you think about patterns, architecture, and some common situations while developing an app.
We will send you a challenge your way! You will be working with the team solving a specific task regarding an API and a backend service.
After finishing the code challenge, we'll come to a decision.
A Day at TTT Studios

The work culture at TTT is second to none. On arrival, head to the kitchen for your daily caffeine fix before joining the team in our open-plan office space. Once you've settled in, our engineering team will onboard you with our development processes and technical standards. Equipped with the tools you need, get ready to jump into action. Working from home is always an option.

Our clients operate across a wide range of industries that span from tourism to communications. For every project you take on, you’ll encounter intellectually stimulating and impactful technical challenges that keep you on your toes. For an idea of some of the projects we’ve taken on in the past, check out our case studies here.

As you work, keep your eyes peeled for our office dogs who will trot by and welcome you to the TTT family. To help combat work stress, our perks include work flexibility, monthly happy hours, weekly lunch & learns, yoga lessons twice a week, and a cozy massage chair overlooking Vancouver’s scenic waterfront. The team at TTT is passionate about creating software that impacts lives, and management does everything it can to plant the seeds that will propel you to greater heights.

More from Us

TTT Studios is an award winning digital innovation studio focused on empowering businesses through technology. #1 ranked Canadian custom software and mobile app developer. Our values are integrity, passion and excellence. We’re obsessed with delivering quality work. That’s why our team consists of designers and engineers of the highest calibre. We also strongly believe in empowering the community by being heavily involved in local and international events as speakers, educators, and sponsors. Whether you’re a developer, designer, management or co-op student, every single person here contributes to who we are as a company.",4.6,"TTT Studios
4.6",Vancouver,-1,1 to 50 Employees,2010,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
Apple iOS/Mac Software Developer,-1,"Webroot
is actively seeking an experienced Software Developer with macOS experience and
knowledge of OS internals. We are looking for a strong and experienced engineer
to complement our Mac development team that’s responsible for the core Mac
products at Webroot. Our mission is to develop cutting-edge internet security
and anti-malware applications that utilize our revolutionary cloud-based technology.

Specific Objectives
and Responsibilities
Design, develop and maintain our suite
of security products for macOS.
Collaborate with Product, backend and
QA teams through the product development lifetime.
Deliver high quality, performant, secure
code and products.
Perform research and prototyping of
new features.
Continuously improve development
processes and product quality by implementing best practices and utilizing
quality assurance tools.
Write unit, integration, service,
and other required tests. Create and maintain project documentation.
Success Factors

What will make you
successful at Carbonite:
A
track record of good judgment and decision-making in positions with significant
responsibility
Highly
autonomous and able to independently identify high value projects and drive
them completion
Demonstrated
leadership capability in cross-functional team environments
High
degree of comfort with complex technical environments
Having
and being able to articulate/defend an informed opinion on important topics
5 years of
C/C , Objective-C
XCode, codesign,
Git
macOS internals
knowledge
Experience with
networking protocols and software interfaces
Proven
experience writing system level applications for Mac
Proven
experience writing unit and integration tests
Ability to write
clean, maintainable code
Quality-focused
mindset
Ability to work
in Agile and highly collaborative environments
Understanding of
Agile principles and concepts
Strong English
written and verbal communication skills
Ability and
desire to learn new technologies and tools
Bonus Points For
Understanding
software security and malware detection principles
A degree in
computer science or equivalent experience
Experience
working in an Agile environment
Hands-on
experience with Test Driven Development
Swift
GitLab
Mac Store
deployment
Knowledge
of the Cocoa development framework and XCode
Significant
experience developing user interface-driven applications
Experience with high-performance, high-availability, large data volume product development.
Company Overview

Together Carbonite—a leader in data protection and Webroot—a
leader in data security—form the SMB and Consumer Division of
OpenText. The mission of our joint offering is to make cyber resilience
simple, reliable and accessible in the connected world. We enable comprehensive
data protection for companies, consumers, and our vast network of partners
around the globe.

Our business requires top talent. We foster a thriving, dynamic
environment rich with inventive minds and entrepreneurial spirit. From
engineering to sales and marketing, operations and customer support, our
employees are empowered and encouraged to build their careers at OpenText.

We pride ourselves on hiring standout candidates who shine in a
workplace that encourages collaboration and teamwork. We are growing fast, and
looking for talented candidates around the globe. Are you ready to
grow with us?#LI-POST

Carbonite, Inc. is an equal
employment opportunity and affirmative action employer does not discriminate
based upon race, color, religion, sex, national origin, age, genetic
information, gender identity or expression, sexual orientation, protected
veteran status, status as a qualified individual with a disability, or any
other characteristic protected by law. Upon request, accommodations will
be made available during the recruitment process for applicants with a
disability. If you require accommodations, we will work with you to provide
or arrange for the provision of suitable accommodation wherever possible.
All qualified applicants are encouraged to apply.",3.4,"Carbonite
3.4",Waterloo,-1,1001 to 5000 Employees,2005,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
